#,Zerpmon,Types,,White Move #1,Dmg,Type,ID,%,White Move #2,Dmg,Type,ID,%,Gold Move #1,Dmg,Type,ID,%,Gold Move #2,Dmg,Type,ID,%,Purple Move #1,Stars,ID,%,Purple Move #2,Stars,ID,%,Blue Move,ID,%,Miss,ID,%,NFToken ID
11,Flamey,Dark,Fire,Skull Bash,80,Normal,#14,18.00%,Magma Blast,80,Fire,#38,9.00%,Eclipse Eruption,55,Dark,#296,16.00%,Flame Whirlwind,70,Fire,#45,22.00%,Pheonix Fury,****,#50,13.00%,Burn Up,**,#48,8.00%,Leap,#380,4.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EC5D458BA0000001F
12,Lupis,Dark,Ghost,Midnight Maul,80,Dark,#289,17.00%,Ethereal Blast,80,Ghost,#254,16.00%,Close Combat,85,Fighting,#136,8.00%,Night Terror,70,Ghost,#261,10.00%,Soul Drain,***,#265,10.00%,Ghostly Possession,****,#266,12.00%,Evade,#375,15.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EDCBA29BB00000020
13,Hypoda,Ground,Water,Hydro Cannon,80,Water,#56,22.00%,Sand Whip,80,Ground,#163,17.00%,Fissure Quake,85,Ground,#172,19.00%,Sludge Cannon,55,Poison,#152,12.00%,Knacker,**,#450,8.00%,Sandstorm Shield,****,#176,5.00%,Burrow,#385,7.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EF39FFABC00000021
14,Spiguin,Ghost,,Deathly Decimation,120,Ghost,#258,21.00%,Guillotine,85,Normal,#17,5.00%,Deathly Dismemberment,85,Undead,#370,4.00%,Cross Chop,55,Fighting,#134,16.00%,Ghostly Possession,****,#266,13.00%,Screech,***,#31,13.00%,Riftwalk,#381,11.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E0A85CBBD00000022
15,Gothium,Dark,Fighting,Shadowy Sweep,80,Dark,#290,19.00%,Last Resort,120,Normal,#24,15.00%,Close Combat,85,Fighting,#136,15.00%,Night Terror,70,Ghost,#261,16.00%,Frighten,*,#299,6.00%,Demonic Dread,***,#301,5.00%,Shadow Swap,#382,12.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E93E8B1C300000028
16,Hoppit,Normal,,Head Kick,70,Normal,#13,12.00%,Body Slam,60,Normal,#11,10.00%,Zap Kick,40,Electric,#97,11.00%,Telepathic Tempest,85,Psychic,#208,10.00%,Taunt and Tease,****,#32,17.00%,Screech,***,#31,17.00%,Dodge,#376,9.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EAACE82C400000029
17,Psykit,Dark,,Dark Energy Blast,100,Dark,#291,10.00%,Smack Down,70,Fighting,#135,5.00%,Obilivion Orb,70,Dark,#297,17.00%,Snuggle Tackle,70,Normal,#27,12.00%,Taunt and Tease,****,#32,16.00%,Lullaby,**,#30,16.00%,Shadow Swap,#382,9.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EC1B453C50000002A
18,Ampsy,Dark,Psychic,Mental Shockwave,100,Psychic,#201,26.00%,Abyssal Annihilation,120,Dark,#293,19.00%,Telepathic Tempest,85,Psychic,#208,8.00%,Shockwave Smash,85,Electric,#100,8.00%,Magnet Wave,**,#102,6.00%,Mind Control,***,#211,6.00%,Evade,#375,10.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ED89A24C60000002B
19,Amparc,Dark,Electric,Dark Energy Blast,100,Dark,#291,25.00%,Thunderbolt Blitz,120,Electric,#96,19.00%,Electro Ball,70,Electric,#99,13.00%,Close Combat,85,Fighting,#136,7.00%,Surge Shield,*,#101,8.00%,Spirit Boost,*,#137,8.00%,Shadow Swap,#382,10.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EEF7FF5C70000002C
20,Voltragon,Dragon,Electric,Obliterating Breath,120,Dragon,#275,22.00%,Zap Cannon,80,Electric,#91,12.00%,Spark Shuriken,55,Electric,#98,10.00%,Heavenly Hurricane,85,Fairy,#334,19.00%,Ancient Rage,****,#284,9.00%,Shockwave Shield,****,#104,5.00%,Parry,#388,9.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E0665C6C80000002D
21,Spearfire,Flying,Steel,Dive Bomb,100,Flying,#184,9.00%,Metal Whip,80,Steel,#307,10.00%,Steel Swipe,55,Steel,#314,12.00%,Talon Tornado,85,Flying,#190,11.00%,Brave Bird,***,#193,16.00%,Metallic Harden,***,#319,11.00%,Fly,#391,11.00%,Miss,#1,20.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E1D4B97C90000002E
22,Fearfire,Fire,Steel,Incinerate,100,Fire,#40,28.00%,Metal Fang,100,Steel,#309,14.00%,Omega Steel Strike,85,Steel,#316,10.00%,Searing Strike,55,Fire,#44,8.00%,Burn Up,**,#48,15.00%,Confuse Ray,*,#29,8.00%,Detect,#390,4.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E343168CA0000002F
23,Spiketox,Fire,Poison,Venomous Bite,50,Poison,#144,16.00%,Napalm,125,Fire,#398,17.00%,Venom Pounce,70,Poison,#153,11.00%,Noxious Eruption,85,Poison,#154,9.00%,Venemous Vortex,****,#158,18.00%,Burn Up,**,#48,13.00%,,,0.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E4B1739CB00000030
24,Burnjaw,Fire,Poison,Magma Blast,80,Fire,#38,13.00%,Tremor Shake,70,Ground,#171,14.00%,Noxious Eruption,85,Poison,#154,20.00%,Flame Whirlwind,70,Fire,#45,17.00%,Molten Maelstrom,***,#49,8.00%,Burn Up,**,#48,6.00%,Detect,#390,11.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E61FD0ACC00000031
25,Wriggul,Bug,,Bug Bite,30,Bug,#213,6.00%,Bramble Barrage,80,Grass,#73,15.00%,Chrysalid Charge,70,Bug,#225,21.00%,Grass Power,75,Grass,#475,8.00%,Infestation,****,#230,22.00%,Metamorphosis Madness,***,#229,16.00%,,,0.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E78E2DBCD00000032
26,Poddle,Bug,,Skull Bash,80,Normal,#14,16.00%,Venoshock,120,Poison,#150,15.00%,Chrysalid Charge,70,Bug,#225,20.00%,Pollen Puff,55,Grass,#80,10.00%,Metamorphosis Madness,***,#229,13.00%,Rapid Evolution,****,#464,11.00%,Protect,#377,5.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E8FC8ACCE00000033
27,Flutterfly,Bug,Poison,Cocoon Cannon,120,Bug,#222,21.00%,Web Shot Lunge,100,Bug,#220,12.00%,Noxious Eruption,85,Poison,#154,10.00%,Pincer Pinch,55,Bug,#224,11.00%,Sticky Web,**,#228,14.00%,Brave Bird,***,#193,12.00%,Fly,#391,7.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EA6AE7DCF00000034
28,Snowbal,Ice,,Snowball Strike,30,Ice,#106,10.00%,Frozen Tundra,125,Ice,#402,16.00%,Snuggle Tackle,70,Normal,#27,15.00%,Quick Attack,40,Normal,#25,10.00%,Sub Zero,*****,#458,12.00%,Blizzard Cataclysm,****,#122,21.00%,Evade,#375,4.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EBD944ED000000035
29,Stormba,Ice,Electric,Hailstorm Fury,70,Ice,#117,20.00%,Thunderclap Crash,100,Electric,#94,12.00%,Shockwave Smash,85,Electric,#100,15.00%,Tremor Shake,70,Ground,#171,13.00%,Ice Wall,***,#121,13.00%,Thunderous Roar,***,#103,8.00%,Counter,#389,10.00%,Miss,#1,9.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ED47A1FD100000036
30,Rachnara,Grass,Psychic,Forest Fury,100,Grass,#76,10.00%,Insects Rising,125,Bug,#407,16.00%,Aura Sphere Blast,70,Psychic,#207,18.00%,Leaf Tornado,70,Grass,#81,14.00%,Telekinetic Shield,**,#210,13.00%,Infestation,****,#230,17.00%,,,0.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EEB5FF0D200000037
31,Dewdrop,Normal,,Kick,30,Normal,#2,10.00%,Body Slam,60,Normal,#11,8.00%,Quick Attack,40,Normal,#25,15.00%,Extreme Speed,85,Normal,#28,10.00%,Taunt and Tease,****,#32,16.00%,Special Talent,****,#446,16.00%,Evade,#375,12.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E0245C1D300000038
32,Dawnfawn,Normal,Electric,Bump and Run,100,Normal,#20,13.00%,Electro Storm,100,Electric,#93,13.00%,Jet Strike,55,Normal,#26,11.00%,Electro Ball,70,Electric,#99,22.00%,Screech,***,#31,14.00%,Knacker,**,#450,12.00%,Leap,#380,4.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E192B92D400000039
33,Stormreign,Dark,Electric,Thunderbolt Blitz,120,Electric,#96,19.00%,Abyssal Annihilation,120,Dark,#293,18.00%,Zap Kick,40,Electric,#97,7.00%,Omega Steel Strike,85,Steel,#316,14.00%,Surge Shield,*,#101,9.00%,Shockwave Shield,****,#104,7.00%,Mirage,#383,5.00%,Miss,#1,21.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E301163D50000003A
34,Cubbel,Normal,,Wild Rush,80,Normal,#15,15.00%,Sandblast,50,Ground,#162,8.00%,Quick Attack,40,Normal,#25,9.00%,Snuggle Tackle,70,Normal,#27,13.00%,Lullaby,**,#30,20.00%,Taunt and Tease,****,#32,24.00%,,,,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E46F734D60000003B
35,Hornbuff,Normal,,Death Charge,120,Normal,#23,16.00%,Guillotine,85,Normal,#17,16.00%,Smack Down,70,Fighting,#135,14.00%,Extreme Speed,85,Normal,#28,12.00%,Guard Up,***,#139,6.00%,Iron Defense,**,#318,4.00%,Protect,#377,14.00%,Miss,#1,18.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E5DDD05D70000003C
36,Petrimon,Rock,,Rock Blast,30,Rock,#232,10.00%,Meteoric Impact,125,Rock,#408,14.00%,Bedrock Blast,70,Rock,#243,18.00%,Fissure Quake,85,Ground,#172,8.00%,Nocturnal Nightmare,****,#302,14.00%,Ancient Power,***,#247,12.00%,Decoy,#384,11.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E74C2D6D80000003D
37,Sanspike,Ground,,Sandstorm Fury,80,Ground,#164,14.00%,Earthquake,100,Ground,#165,25.00%,Tremor Shake,70,Ground,#171,10.00%,Geode Grenade,85,Rock,#244,15.00%,Rock Shield,**,#246,9.00%,Gravel Grind,*,#245,5.00%,Backflip,#378,12.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E8BA8A7D90000003E
38,Magworm,Fire,Rock,Heat Wave,50,Fire,#35,10.00%,Flame Charge,50,Fire,#36,6.00%,Digging Strike,55,Ground,#170,11.00%,Ember Wheel,40,Fire,#43,9.00%,Hellfire,*****,#454,21.00%,Sandstorm Shield,****,#176,21.00%,,,0.00%,Miss,#1,22.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EA28E78DA0000003F
39,Magviper,Fire,Rock,Fireball Storm,120,Fire,#42,17.00%,Napalm,125,Fire,#398,8.00%,Geode Grenade,85,Rock,#244,12.00%,Flame Whirlwind,70,Fire,#45,22.00%,Quicksand Sinkhole,*,#173,8.00%,Sand Pit Trap,***,#175,10.00%,Burrow,#385,6.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EB97449DB00000040
40,Cosma,Cosmic,,Twinkle Tackle,80,Fairy,#325,12.00%,Dimensional Lazer,125,Cosmic,#396,8.00%,Solar Storm,70,Cosmic,#351,14.00%,Psychic Surge,55,Psychic,#206,9.00%,Space Time Warp,**,#354,15.00%,Aurora Borealis,****,#356,14.00%,Mirage,#383,10.00%,Miss,#1,18.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ED05A1ADC00000041
41,Golbee,Fairy,Grass,Photosynthesis Flare,120,Grass,#78,17.00%,Solar Beam,100,Grass,#75,14.00%,Fairy Strike,55,Fairy,#332,18.00%,Flutter Fury,70,Fairy,#333,15.00%,Mind Control,***,#211,6.00%,Rapid Evolution,****,#464,5.00%,Dodge,#376,11.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EE73FEBDD00000042
42,Poibee,Fairy,Poison,Poisonous Whirlwind,80,Poison,#146,14.00%,Sparkle Burst,80,Fairy,#434,10.00%,Flutter Fury,70,Fairy,#333,9.00%,Extreme Speed,85,Normal,#28,6.00%,Venemous Vortex,****,#158,15.00%,Draining Kiss,***,#337,18.00%,Backflip,#378,8.00%,Miss,#1,20.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EFE25BCDE00000043
43,Bugbee,Bug,Fairy,Mystic Moonbeam,120,Fairy,#329,16.00%,Mandible Maul,120,Bug,#221,14.00%,Bug Brawl,40,Bug,#223,17.00%,Heavenly Hurricane,85,Fairy,#334,13.00%,Sticky Web,**,#228,7.00%,Soothing Voice,***,#452,5.00%,Decoy,#384,10.00%,Miss,#1,18.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E150B8DDF00000044
44,Cinnafire,Fire,,Incinerate,100,Fire,#40,17.00%,Bump and Run,100,Normal,#20,15.00%,Flame Whirlwind,70,Fire,#45,16.00%,Smack Down,70,Fighting,#135,10.00%,Burn Up,**,#48,16.00%,Screech,***,#31,7.00%,Evade,#375,8.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E2BF15EE000000045
45,Roarice,Ice,,Surf Strike,50,Water,#54,5.00%,Winter's Wrath,120,Ice,#113,15.00%,Artic Chill,55,Ice,#116,15.00%,Tremor Shake,70,Ground,#171,14.00%,Ice Wall,***,#121,12.00%,Sub Zero,*****,#458,16.00%,Protect,#377,7.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E42D72FE100000046
46,Stompice,Ice,,Winter's Wrath,120,Ice,#113,10.00%,Hydro Cannon,80,Water,#56,16.00%,Crystal Crush,85,Ice,#118,17.00%,Rock Throw,40,Rock,#241,12.00%,Blizzard Cataclysm,****,#122,16.00%,Aurora Borealis,****,#356,9.00%,Protect,#377,7.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E59BD00E200000047
47,Voltotic,Electric,Flying,Zap Cannon,80,Electric,#91,19.00%,Hurricane,100,Flying,#183,22.00%,Whirlwind Whack,70,Flying,#189,12.00%,Talon Tornado,85,Flying,#190,6.00%,Brave Bird,***,#193,15.00%,Surge Shield,*,#101,10.00%,Fly,#391,4.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E70A2D1E300000048
48,Turtpip,Grass,Water,Wild Rush,80,Normal,#15,10.00%,Water Gun,50,Water,#53,5.00%,Torrential Tempest,70,Water,#63,13.00%,Snuggle Tackle,70,Normal,#27,9.00%,Aqua Veil,***,#67,12.00%,Floral Fusion,****,#86,24.00%,Withdraw,#379,14.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E8788A2E400000049
49,Shelltur,Fighting,Grass,Fists of Fury,80,Fighting,#128,10.00%,Bone Breaker,100,Fighting,#129,8.00%,Leaf Tornado,70,Grass,#81,19.00%,Close Combat,85,Fighting,#136,15.00%,Guard Up,***,#139,12.00%,Kung Fu Confusion,****,#140,10.00%,Dive,#387,12.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E9E6E73E50000004A
50,Mistlegon,Dragon,,Zen Headbutt,80,Psychic,#200,9.00%,Enchanted Mist,100,Fairy,#327,8.00%,Supernova,70,Dragon,#279,12.00%,Solar Storm,70,Cosmic,#351,13.00%,Special Talent,****,#446,15.00%,Ancient Rage,****,#284,20.00%,Wall of Presents,#386,7.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EB55444E60000004B
51,Voltile,Fire,,Fire Ball,80,Fire,#418,22.00%,Bump and Run,100,Normal,#20,9.00%,Bedrock Blast,70,Rock,#243,10.00%,Flame Whirlwind,70,Fire,#45,10.00%,Burn Up,**,#48,25.00%,Pheonix Fury,****,#50,13.00%,,,0.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ECC3A15E70000004C
52,Salamantis,Fire,Rock,Stone Storm,80,Rock,#236,18.00%,Flame Whirlwind,70,Fire,#45,10.00%,Infernal Explosion,85,Fire,#46,23.00%,Digging Strike,55,Ground,#170,11.00%,Ancient Power,***,#247,12.00%,Sand Pit Trap,***,#175,8.00%,Burrow,#385,8.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EE31FE6E80000004D
53,Clocktik,Flying,Steel,Wing Slash,50,Flying,#180,10.00%,Foliage Frenzy,50,Grass,#72,10.00%,Bolt Blade,70,Steel,#315,8.00%,Omega Steel Strike,85,Steel,#316,16.00%,Overdrive,*****,#469,12.00%,Knacker,**,#450,15.00%,Protect,#377,12.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EFA05B7E90000004E
54,Clocktok,Flying,Steel,Skyward Slash,120,Flying,#185,21.00%,Thorn Blizzard,120,Grass,#77,15.00%,Bolt Blade,70,Steel,#315,9.00%,Dive Tackle,40,Flying,#187,10.00%,Telekinetic Shield,**,#210,11.00%,Gruesome Gaze,*,#371,13.00%,Mirage,#383,8.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E10EB88EA0000004F
55,Dyno,Fighting,Fire,Inferno Blitz,80,Fire,#37,20.00%,Sand Whip,80,Ground,#163,12.00%,Close Combat,85,Fighting,#136,18.00%,Flame Whirlwind,70,Fire,#45,8.00%,Dust Devil,**,#174,5.00%,Sandstorm Shield,****,#176,10.00%,Backflip,#378,12.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E27D159EB00000050
56,Aquacuda,Water,,Tsunami Slam,100,Water,#58,16.00%,Venomous Bite,50,Poison,#144,9.00%,Water Whip,55,Water,#62,8.00%,Torrential Tempest,70,Water,#63,10.00%,Bubble Barrier,**,#66,16.00%,Briny Blast,****,#68,26.00%,,,0.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E3EB72AEC00000051
57,Rhinonium,Ice,Rock,Obsidian Blast,100,Rock,#238,20.00%,Frost Nova,80,Ice,#109,15.00%,Steel Swipe,55,Steel,#314,10.00%,Fissure Quake,85,Ground,#172,9.00%,Blizzard Cataclysm,****,#122,12.00%,Quarry Coffin,****,#248,10.00%,Protect,#377,12.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E559CFBED00000052
58,Gothamel,Cosmic,Dark,Black Hole Implosion,120,Cosmic,#347,11.00%,Undead Apocalypse,120,Undead,#366,8.00%,Aurora Blast,55,Cosmic,#350,12.00%,Obilivion Orb,70,Dark,#297,10.00%,Nocturnal Nightmare,****,#302,17.00%,Cosmic Radiation,***,#355,13.00%,,,0.00%,Miss,#1,29.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E6C82CCEE00000053
59,Terrasaur,Ground,Ice,Ethereal Blast,80,Ghost,#254,11.00%,Rockslide Avalanche,120,Ground,#167,7.00%,Crystal Crush,85,Ice,#118,13.00%,Tremor Shake,70,Ground,#171,9.00%,Sandstorm Shield,****,#176,16.00%,Ice Wall,***,#121,13.00%,Mirage,#383,15.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E83689DEF00000054
60,Hyping,Cosmic,Psychic,Black Hole Implosion,120,Cosmic,#347,12.00%,Portal Slam,80,Cosmic,#344,9.00%,Psychic Surge,55,Psychic,#206,17.00%,Eclipse Eruption,55,Dark,#296,12.00%,Thought Scramble,****,#212,20.00%,Telekinetic Shield,**,#210,19.00%,,,0.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E9A4E6EF000000055
61,Uka Uka,Dark,Undead,Necrotic Wave,30,Undead,#358,9.00%,Blackout Strike,50,Dark,#287,15.00%,Wraith Whip,70,Undead,#369,8.00%,Night Terror,70,Ghost,#261,12.00%,Demonic Dread,***,#301,20.00%,Taunt and Tease,****,#32,18.00%,Shadow Swap,#382,8.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EB1343FF100000056
62,Buka Buka,Dark,Undead,Demonic Deluge,100,Undead,#364,10.00%,Shadowy Sweep,80,Dark,#290,15.00%,Wraith Whip,70,Undead,#369,20.00%,Night Terror,70,Ghost,#261,12.00%,Magnet Wave,**,#102,8.00%,Venemous Vortex,****,#158,11.00%,Withdraw,#379,6.00%,Miss,#1,18.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EC81A10F200000057
63,Rutabaga,Psychic,Undead,Necrotic Nova,120,Undead,#365,20.00%,Mental Shockwave,100,Psychic,#201,21.00%,Tremor Shake,70,Ground,#171,12.00%,Leaf Tornado,70,Grass,#81,10.00%,Telekinetic Shield,**,#210,16.00%,Soul Drain,***,#265,7.00%,,,0.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EDEFFE1F300000058
64,Igni,Fire,Undead,Inferno Blitz,80,Fire,#37,17.00%,Dark Energy Blast,100,Dark,#291,26.00%,Ember Wheel,40,Fire,#43,10.00%,Undead Punch,75,Undead,#487,11.00%,Burn Up,**,#48,10.00%,Screech,***,#31,16.00%,,,0.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EF5E5B2F400000059
65,Jellatile,Bug,,Web Shot Lunge,100,Bug,#220,22.00%,Swarm,30,Bug,#214,9.00%,Rain Dance Rush,40,Water,#61,9.00%,Poison Strike,75,Poison,#489,10.00%,Infestation,****,#230,17.00%,Rapid Evolution,****,#464,15.00%,Evade,#375,5.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E0CCB83F50000005A
66,Gnuke,Dark,Psychic,Ghastly Grapple,100,Ghost,#256,30.00%,Shadowy Sweep,80,Dark,#290,9.00%,Aura Sphere Blast,70,Psychic,#207,17.00%,Eternal Nightfall,85,Dark,#298,6.00%,Demonic Dread,***,#301,11.00%,Alternate Dimension,****,#463,10.00%,,,0.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E23B154F60000005B
67,Scorpinch,Bug,Dark,Midnight Maul,80,Dark,#289,16.00%,Guillotine,85,Normal,#17,22.00%,Crawler Clobber,85,Bug,#226,14.00%,Close Combat,85,Fighting,#136,12.00%,Metamorphosis Madness,***,#229,6.00%,Disarm,*****,#441,5.00%,Shadow Swap,#382,9.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E3A9725F70000005C
