Move ID,Move Name,Type,Damage,Colour,Notes,Purple Move Effect ID,Melee Ranged,Move ID
#165,Earthquake,Ground,100,White,,,2,#165
#166,Ground Shatter,Ground,100,White,,,2,#166
#167,Rockslide Avalanche,Ground,120,White,,,2,#167
#168,Rock Tomb Collapse,Ground,120,White,,,2,#168
#169,Terra Tackle,Ground,40,Gold,,,1,#169
#170,Digging Strike,Ground,55,Gold,,,1,#170
#171,Tremor Shake,Ground,70,Gold,,,2,#171
#172,Fissure Quake,Ground,85,Gold,,,2,#172
#173,Quicksand Sinkhole,Ground,*,Purple,Decrease Opposing Zerpmon's Highest Percentage Gold Attack Chance by 8%,91,4,#173
#174,Dust Devil,Ground,**,Purple,Increase Own Lowest Percentage Attack Chance by 16%,2,3,#174
#175,Sand Pit Trap,Ground,***,Purple,Decrease Opposing Zerpmon's Highest Percentage Gold Attack Chance by 24%,93,4,#175
#176,Sandstorm Shield,Ground,****,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 40%,84,4,#176
#177,Wing Gust,Flying,30,White,,,2,#177
#178,Sky Dive,Flying,30,White,,,1,#178
#179,Feather Hurricane,Flying,50,White,,,2,#179
#180,Wing Slash,Flying,50,White,,,1,#180
#181,Aerial Assault,Flying,80,White,,,1,#181
#182,Soaring Strike,Flying,80,White,,,1,#182
#183,Hurricane,Flying,100,White,,,2,#183
#184,Dive Bomb,Flying,100,White,,,1,#184
#185,Skyward Slash,Flying,120,White,,,1,#185
#186,Aeroblast,Flying,120,White,,,2,#186
#187,Dive Tackle,Flying,40,Gold,,,1,#187
#188,Cyclone Kick,Flying,55,Gold,,,1,#188
#189,Whirlwind Whack,Flying,70,Gold,,,1,#189
#190,Talon Tornado,Flying,85,Gold,,,1,#190
#191,Roost,Flying,*,Purple,Increase Own Lowest Percentage Attack Chance by 8%,1,3,#191
#192,Tailwind Boost,Flying,**,Purple,Increase Own Lowest Percentage Attack Chance by 16%,2,3,#192
#193,Brave Bird,Flying,***,Purple,Increase Own Lowest Percentage Attack Chance by 24%,3,3,#193
#194,Feathered Fling,Flying,****,Purple,Decrease Opposing Zerpmon's Second Lowest Percentage Attack Chance by 40%,64,4,#194
#195,Psychic Blast,Psychic,30,White,,,2,#195
#196,Telekinesis Throw,Psychic,30,White,,,2,#196
#197,Psybeam Burst,Psychic,50,White,,,2,#197
#198,Confusion Strike,Psychic,50,White,,,1,#198
#199,Teleport Strike,Psychic,80,White,,,1,#199
#200,Zen Headbutt,Psychic,80,White,,,1,#200
#201,Mental Shockwave,Psychic,100,White,,,2,#201
#202,Psyshock Slam,Psychic,100,White,,,1,#202
#203,Dream Eater,Psychic,120,White,,,2,#203
#204,Hyperspace Punch,Psychic,120,White,,,1,#204
#205,Mighty Migraine,Psychic,40,Gold,,,2,#205
#206,Psychic Surge,Psychic,55,Gold,,,2,#206
#207,Aura Sphere Blast,Psychic,70,Gold,,,2,#207
#208,Telepathic Tempest,Psychic,85,Gold,,,2,#208
#209,Hypnosis Haze,Psychic,*,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 10%,81,4,#209
#210,Telekinetic Shield,Psychic,**,Purple,Decrease Opposing Zerpmon's Second Lowest Percentage Attack Chance by 20%,62,4,#210
#211,Mind Control,Psychic,***,Purple,Increase Opposing Zerpmon's Red Percentage Chance by 15%,43,4,#211
#212,Thought Scramble,Psychic,****,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 40%,84,4,#212
#213,Bug Bite,Bug,30,White,,,1,#213
#214,Swarm,Bug,30,White,,,2,#214
#215,Spine Strike,Bug,50,White,,,1,#215
#216,Chitin Crush,Bug,50,White,,,1,#216
#217,Serrated Slash,Bug,80,White,,,1,#217
#218,Beetle Barrage,Bug,80,White,,,2,#218
#219,X-Scissor Strike,Bug,100,White,,,1,#219
#220,Web Shot Lunge,Bug,100,White,,,1,#220
#221,Mandible Maul,Bug,120,White,,,1,#221
#222,Cocoon Cannon,Bug,120,White,,,2,#222
#223,Bug Brawl,Bug,40,Gold,,,1,#223
#224,Pincer Pinch,Bug,55,Gold,,,1,#224
#225,Chrysalid Charge,Bug,70,Gold,,,1,#225
#226,Crawler Clobber,Bug,85,Gold,,,1,#226
#227,Leech,Bug,*,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 10%,81,4,#227
#228,Sticky Web,Bug,**,Purple,Decrease Opposing Zerpmon's Highest Percentage Gold Attack Chance by 16%,92,4,#228
#229,Metamorphosis Madness,Bug,***,Purple,Increase Own Highest Percentage Attack Chance by 30%,23,3,#229
#230,Infestation,Bug,****,Purple,Decrease Opposing Zerpmon's Second Lowest Percentage Attack Chance by 40%,64,4,#230
#231,Boulder Bash,Rock,30,White,,,1,#231
#232,Rock Blast,Rock,30,White,,,2,#232
#233,Shale Shatter,Rock,50,White,,,2,#233
#234,Boulder Barrage,Rock,50,White,,,2,#234
#235,Gemstone Missile,Rock,80,White,,,2,#235
#236,Stone Storm,Rock,80,White,,,2,#236
#237,Rocky Rampage,Rock,100,White,,,1,#237
#238,Obsidian Blast,Rock,100,White,,,2,#238
#239,Meteor Rush,Rock,120,White,,,1,#239
#240,Obsidian Obliteration,Rock,120,White,,,1,#240
#241,Rock Throw,Rock,40,Gold,,,2,#241
#242,Fossil Fury,Rock,55,Gold,,,1,#242
#243,Bedrock Blast,Rock,70,Gold,,,2,#243
#244,Geode Grenade,Rock,85,Gold,,,2,#244
#245,Gravel Grind,Rock,*,Purple,Increase Own Lowest Percentage Attack Chance by 8%,1,3,#245
#246,Rock Shield,Rock,**,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 20%,82,4,#246
#247,Ancient Power,Rock,***,Purple,Decrease Own Red Chance by 24%,53,3,#247
#248,Quarry Coffin,Rock,****,Purple,Increase Opposing Zerpmon's Red Percentage Chance by 20%,44,4,#248
#249,Shadow Ball,Ghost,30,White,,,2,#249
#250,Spirit Slam,Ghost,30,White,,,1,#250
#251,Poltergeist Strike,Ghost,50,White,,,1,#251
#252,Spectral Beam,Ghost,50,White,,,2,#252
#253,Ectoplasmic Explosion,Ghost,80,White,,,2,#253
#254,Ethereal Blast,Ghost,80,White,,,2,#254
#255,Apparition Assault,Ghost,100,White,,,1,#255
#256,Ghastly Grapple,Ghost,100,White,,,1,#256
#257,Banshee Blast,Ghost,120,White,,,2,#257
#258,Deathly Decimation,Ghost,120,White,,,1,#258
#259,Nightmarish Nudge,Ghost,40,Gold,,,1,#259
#260,Cursed Cut,Ghost,55,Gold,,,2,#260
#261,Night Terror,Ghost,70,Gold,,,2,#261
#262,Ghostly Guillotine,Ghost,85,Gold,,,1,#262
#263,Phantom Scream,Ghost,*,Purple,Decrease Opposing Zerpmon's Highest Percentage Gold Attack Chance by 8%,91,4,#263
#264,Haunting Curse,Ghost,**,Purple,Decrease Opposing Zerpmon's Second Lowest Percentage Gold Attack Chance by 16%,72,4,#264
#265,Soul Drain,Ghost,***,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 30%,83,4,#265
#266,Ghostly Possession,Ghost,****,Purple,Decrease Opposing Zerpmon's Highest Percentage Gold Attack Chance by 32%,94,4,#266
#267,Drake Dive,Dragon,30,White,,,1,#267
#268,Wyrm Whirlwind,Dragon,30,White,,,2,#268
#269,Serpentine Slash,Dragon,50,White,,,1,#269
#270,Tailwhip,Dragon,50,White,,,2,#270
#271,Dragonfire Fury,Dragon,80,White,,,2,#271
#272,Rampage,Dragon,80,White,,,1,#272
#273,Claw Crush,Dragon,100,White,,,1,#273
#274,Dragon Leap,Dragon,100,White,,,1,#274
#275,Obliterating Breath,Dragon,120,White,,,2,#275
#276,World-ending Fire,Dragon,120,White,,,2,#276
#277,Blaze Rush,Dragon,40,Gold,,,1,#277
#278,Talon Hammer,Dragon,55,Gold,,,1,#278
#279,Supernova,Dragon,70,Gold,,,2,#279
#280,Dimensional Shredder,Dragon,85,Gold,,,1,#280
#281,Gust,Dragon,*,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 10%,81,4,#281
#282,Scale Armour,Dragon,**,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 20%,82,4,#282
#283,Dragon's Roar,Dragon,***,Purple,Decrease Own Red Chance by 24%,53,3,#283
#284,Ancient Rage,Dragon,****,Purple,Increase Own Lowest Percentage Attack Chance by 32%,4,3,#284
#285,Dark Pulse,Dark,30,White,,,2,#285
#286,Sable Slash,Dark,30,White,,,1,#286
#287,Blackout Strike,Dark,50,White,,,1,#287
#288,Twilight Takedown,Dark,50,White,,,1,#288
#289,Midnight Maul,Dark,80,White,,,1,#289
#290,Shadowy Sweep,Dark,80,White,,,1,#290
#291,Dark Energy Blast,Dark,100,White,,,2,#291
#292,Dark Void Vortex,Dark,100,White,,,2,#292
#293,Abyssal Annihilation,Dark,120,White,,,1,#293
#294,Soul-Sucking Siphon,Dark,120,White,,,2,#294
#295,Umbral Uppercut,Dark,40,Gold,,,1,#295
#296,Eclipse Eruption,Dark,55,Gold,,,2,#296
#297,Obilivion Orb,Dark,70,Gold,,,2,#297
#298,Eternal Nightfall,Dark,85,Gold,,,2,#298
#299,Frighten,Dark,*,Purple,Decrease Opposing Zerpmon's Second Lowest Percentage Attack Chance by 10%,61,4,#299
#300,Dark Whispers,Dark,**,Purple,Decrease Opposing Zerpmon's Highest Percentage Gold Attack Chance by 16%,92,4,#300
#301,Demonic Dread,Dark,***,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 30%,83,4,#301
#302,Nocturnal Nightmare,Dark,****,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 40%,84,4,#302
#303,Iron Headbutt,Steel,30,White,,,1,#303
#304,Steel Beam Cannon,Steel,30,White,,,2,#304
#305,Metal Crush,Steel,50,White,,,1,#305
#306,Gear Grind,Steel,50,White,,,1,#306
#307,Metal Whip,Steel,80,White,,,2,#307
#308,Metallic Rush,Steel,80,White,,,1,#308
#309,Metal Fang,Steel,100,White,,,1,#309
#310,Chrono Steel Blast,Steel,100,White,,,2,#310
#311,Quantum Steel Quake,Steel,120,White,,,2,#311
#312,Titan Steel Tempest,Steel,120,White,,,1,#312
#313,Alloy Attack,Steel,40,Gold,,,1,#313
#314,Steel Swipe,Steel,55,Gold,,,1,#314
#315,Bolt Blade,Steel,70,Gold,,,1,#315
#316,Omega Steel Strike,Steel,85,Gold,,,1,#316
#317,Rust,Steel,*,Purple,Decrease Opposing Zerpmon's Highest Percentage Gold Attack Chance by 8%,91,4,#317
#318,Iron Defense,Steel,**,Purple,Increase Opposing Zerpmon's Red Percentage Chance by 10%,42,4,#318
#319,Metallic Harden,Steel,***,Purple,Decrease Opposing Zerpmon's Second Lowest Percentage Attack Chance by 30%,63,4,#319
#320,Steel Plague,Steel,****,Purple,Increase Own Highest Percentage Attack Chance by 40%,24,3,#320
#321,Dazzling Gleam,Fairy,30,White,,,2,#321
#322,Pixie Dust Shower,Fairy,30,White,,,2,#322
#323,Magical Mist,Fairy,50,White,,,2,#323
#324,Sparkle Wave,Fairy,50,White,,,2,#324
#325,Twinkle Tackle,Fairy,80,White,,,1,#325
#326,Glittering Sweep,Fairy,80,White,,,1,#326
#327,Enchanted Mist,Fairy,100,White,,,2,#327
#328,Radiant Ray,Fairy,100,White,,,2,#328
#329,Mystic Moonbeam,Fairy,120,White,,,2,#329
#330,Angelic Annihilation,Fairy,120,White,,,1,#330
#331,Pixie Power,Fairy,40,Gold,,,1,#331
#332,Fairy Strike,Fairy,55,Gold,,,1,#332
#333,Flutter Fury,Fairy,70,Gold,,,2,#333
#334,Heavenly Hurricane,Fairy,85,Gold,,,2,#334
#335,Dreamy Haze,Fairy,*,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 10%,81,4,#335
#336,Charm Beam,Fairy,**,Purple,Decrease Opposing Zerpmon's Highest Percentage Gold Attack Chance by 16%,92,4,#336
#337,Draining Kiss,Fairy,***,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 30%,83,4,#337
#338,Shimmering Symphony,Fairy,****,Purple,Increase Own Lowest Percentage Attack Chance by 32%,4,3,#338
#339,Astral Projection,Cosmic,30,White,,,2,#339
#340,Celestial Strike,Cosmic,30,White,,,1,#340
#341,Nebula Burst,Cosmic,50,White,,,2,#341
#342,Gravity Pull,Cosmic,50,White,,,2,#342
#343,Interdimensional Rift,Cosmic,80,White,,,2,#343
#344,Portal Slam,Cosmic,80,White,,,1,#344
#345,Cosmic Ray Beam,Cosmic,100,White,,,2,#345
#346,Starry Nightfall,Cosmic,100,White,,,2,#346
#347,Black Hole Implosion,Cosmic,120,White,,,2,#347
#348,Galactic Singularity,Cosmic,120,White,,,2,#348
#349,Lunar Wave,Cosmic,40,Gold,,,2,#349
#350,Aurora Blast,Cosmic,55,Gold,,,2,#350
#351,Solar Storm,Cosmic,70,Gold,,,2,#351
#352,Interstellar Impact,Cosmic,85,Gold,,,1,#352
#353,Eclipse Edge,Cosmic,*,Purple,Increase Own Highest Percentage Gold Attack Chance by 5%,31,3,#353
#354,Space Time Warp,Cosmic,**,Purple,Increase Own Highest Percentage Gold Attack Chance by 10%,32,3,#354
#355,Cosmic Radiation,Cosmic,***,Purple,Increase Opposing Zerpmon's Red Percentage Chance by 15%,43,4,#355
#356,Aurora Borealis,Cosmic,****,Purple,Increase Own Lowest Percentage Attack Chance by 32%,4,3,#356
#357,Graveyard Smash,Undead,30,White,,,1,#357
#358,Necrotic Wave,Undead,30,White,,,2,#358
#359,Undead Wail,Undead,50,White,,,1,#359
#360,Skeletal Strike,Undead,50,White,,,1,#360
#361,Corpse Explosion,Undead,80,White,,,2,#361
#362,Tombstone Tremor,Undead,80,White,,,2,#362
#363,Nightshade Strike,Undead,100,White,,,1,#363
#364,Demonic Deluge,Undead,100,White,,,2,#364
#365,Necrotic Nova,Undead,120,White,,,2,#365
#366,Undead Apocalypse,Undead,120,White,,,2,#366
#367,Ghoulish Grab,Undead,40,Gold,,,1,#367
#368,Decay Dive,Undead,55,Gold,,,1,#368
#369,Wraith Whip,Undead,70,Gold,,,2,#369
#370,Deathly Dismemberment,Undead,85,Gold,,,1,#370
#371,Gruesome Gaze,Undead,*,Purple,Decrease Opposing Zerpmon's Second Lowest Percentage Attack Chance by 10%,61,4,#371
#372,Deathly Curse,Undead,**,Purple,Decrease Opposing Zerpmon's Highest Percentage Attack Chance by 20%,82,4,#372
#373,Necromancer's Grasp,Undead,***,Purple,Increase Own Lowest Percentage Attack Chance by 24%,3,3,#373
#374,Death's Dominion,Undead,****,Purple,Increase Opposing Zerpmon's Red Percentage Chance by 20%,44,4,#374
#375,Evade,-,-,Blue,,,Null,#375
#376,Dodge,-,-,Blue,,,Null,#376
#377,Protect,-,-,Blue,,,Null,#377
#378,Backflip,-,-,Blue,,,Null,#378
#379,Withdraw,-,-,Blue,,,Null,#379
#380,Leap,-,-,Blue,,,Null,#380
#381,Riftwalk,-,-,Blue,,,Null,#381
#382,Shadow Swap,-,-,Blue,,,Null,#382
#383,Mirage,-,-,Blue,,,Null,#383
#384,Decoy,-,-,Blue,,,Null,#384
#385,Burrow,-,-,Blue,,,Null,#385
#386,Wall of Presents,-,-,Blue,,,Null,#386
#387,Dive,-,-,Blue,,,Null,#387
#388,Parry,-,-,Blue,,,Null,#388
#389,Counter,-,-,Blue,,,Null,#389
#390,Detect,-,-,Blue,,,Null,#390
#391,Fly,-,-,Blue,,,Null,#391
#392,Illusion,-,-,Blue,,,Null,#392
#393,Acrobatics,-,-,Blue,,,Null,#393
#394,Block,-,-,Blue,,,Null,#394
#395,Fatal Sneak Attack,Fighting,125,White,,,1,#395
#396,Dimensional Lazer,Cosmic,125,White,,,2,#396
#397,Death Hug,Normal,125,White,,,1,#397
#398,Napalm,Fire,125,White,,,2,#398
#399,Vortex Tsunami,Water,125,White,,,2,#399
#400,Roots Below,Grass,125,White,,,2,#400
#401,Voltage Overload,Electric,125,White,,,2,#401
#402,Frozen Tundra,Ice,125,White,,,2,#402
#403,Venom Nova,Poison,125,White,,,2,#403
#404,Cataclysm,Ground,125,White,,,2,#404
#405,Gale Force Barrage,Flying,125,White,,,2,#405
#406,Reality Bend,Psychic,125,White,,,2,#406
#407,Insects Rising,Bug,125,White,,,2,#407
#408,Meteoric Impact,Rock,125,White,,,1,#408
#409,Phantom Abyss,Ghost,125,White,,,2,#409
#410,Whitefire,Dragon,125,White,,,2,#410
#411,Darkness Plunge,Dark,125,White,,,2,#411
#412,Absolute Iron,Steel,125,White,,,1,#412
#413,Piercing Sparkle,Fairy,125,White,,,2,#413
#414,Touch of Death,Undead,125,White,,,1,#414
#415,Cheeky Pinch,Normal,50,White,,,1,#415
#416,Malicious Pinch,Dark,70,Gold,,,1,#416
#417,Backhand Slap,Normal,80,White,,,1,#417
#418,Fire Ball,Fire,80,White,,,2,#418
#419,Aqua Shot,Water,80,White,,,2,#419
#420,Thorn Shot,Grass,80,White,,,2,#420
#421,Arc Lightning,Electric,80,White,,,2,#421
#422,Hail Scatter,Ice,80,White,,,2,#422
