#,Zerpmon,Types,,White Move #1,Dmg,Type,ID,%,White Move #2,Dmg,Type,ID,%,Gold Move #1,Dmg,Type,ID,%,Gold Move #2,Dmg,Type,ID,%,Purple Move,Stars,ID,%,Purple Move #2,Stars,ID,%,Blue Move,ID,%,Miss,ID,%,NFToken ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Lupis,Dark,Ghost,Midnight Maul,80,Dark,#289,18.00%,Ethereal Blast,80,Ghost,#254,16.00%,Close Combat,85,Fighting,#136,8.00%,Night Terror,70,Ghost,#261,10.00%,Soul Drain,***,#265,10.00%,Ghostly Possession,****,#266,12.00%,Evade,#375,14.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EDCBA29BB00000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Hypoda,Ground,Water,Hydro Cannon,80,Water,#56,22.00%,Sand Whip,80,Ground,#163,17.00%,Fissure Quake,85,Ground,#172,18.00%,Sludge Cannon,55,Poison,#152,13.00%,Quicksand Sinkhole,*,#173,8.00%,Sandstorm Shield,****,#176,5.00%,Burrow,#385,7.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EF39FFABC00000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Spiguin,Ghost,,Deathly Decimation,120,Ghost,#258,24.00%,Guillotine,85,Normal,#17,5.00%,Deathly Dismemberment,85,Undead,#370,4.00%,Cross Chop,55,Fighting,#134,16.00%,Ghostly Possession,****,#266,13.00%,Screech,***,#31,13.00%,Riftwalk,#381,10.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E0A85CBBD00000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Gothium,Dark,Fighting,Shadowy Sweep,80,Dark,#290,20.00%,Last Resort,120,Normal,#24,15.00%,Close Combat,85,Fighting,#136,15.00%,Night Terror,70,Ghost,#261,16.00%,Frighten,*,#299,6.00%,Demonic Dread,***,#301,5.00%,Shadow Swap,#382,12.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E93E8B1C300000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Hoppit,Normal,,Head Kick,70,Normal,#13,14.00%,Body Slam,60,Normal,#11,10.00%,Zap Kick,40,Electric,#97,11.00%,,,,,0.00%,Taunt and Tease,****,#32,20.00%,Screech,***,#31,25.00%,Dodge,#376,8.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EAACE82C400000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Psykit,Dark,,Dark Energy Blast,100,Dark,#291,10.00%,Smack Down,70,Fighting,#135,5.00%,Obilivion Orb,70,Dark,#297,18.00%,Snuggle Tackle,70,Normal,#27,12.00%,Taunt and Tease,****,#32,16.00%,Lullaby,**,#30,16.00%,Shadow Swap,#382,9.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EC1B453C50000002A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ampsy,Dark,Psychic,Mental Shockwave,100,Psychic,#201,26.00%,Abyssal Annihilation,120,Dark,#293,19.00%,Telepathic Tempest,85,Psychic,#208,8.00%,Shockwave Smash,85,Electric,#100,8.00%,Magnet Wave,**,#102,6.00%,Mind Control,***,#211,6.00%,Evade,#375,11.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ED89A24C60000002B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Amparc,Dark,Electric,Dark Energy Blast,100,Dark,#291,25.00%,Thunderbolt Blitz,120,Electric,#96,19.00%,Electro Ball,70,Electric,#99,12.00%,Close Combat,85,Fighting,#136,7.00%,Surge Shield,*,#101,8.00%,Spirit Boost,*,#137,9.00%,Shadow Swap,#382,9.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EEF7FF5C70000002C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Voltragon,Dragon,Electric,Obliterating Breath,120,Dragon,#275,23.00%,Zap Cannon,80,Electric,#91,12.00%,Spark Shuriken,55,Electric,#98,10.00%,Heavenly Hurricane,85,Fairy,#334,19.00%,Ancient Rage,****,#284,9.00%,Shockwave Shield,****,#104,5.00%,Parry,#388,9.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E0665C6C80000002D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Spearfire,Flying,Steel,Dive Bomb,100,Flying,#184,12.00%,Metal Whip,80,Steel,#307,10.00%,Steel Swipe,55,Steel,#314,15.00%,Talon Tornado,85,Flying,#190,11.00%,Brave Bird,***,#193,18.00%,Metallic Harden,***,#319,11.00%,Fly,#391,10.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E1D4B97C90000002E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Fearfire,Fire,Steel,Incinerate,100,Fire,#40,28.00%,Metal Fang,100,Steel,#309,15.00%,Omega Steel Strike,85,Steel,#316,10.00%,Searing Strike,55,Fire,#44,8.00%,Burn Up,**,#48,15.00%,Confuse Ray,*,#29,8.00%,Detect,#390,4.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E343168CA0000002F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Spiketox,Fire,Poison,Venomous Bite,50,Poison,#144,25.00%,Napalm,125,Fire,#398,11.00%,Venom Pounce,70,Poison,#153,9.00%,Noxious Eruption,85,Poison,#154,9.00%,Venemous Vortex,****,#158,18.00%,Burn Up,**,#48,13.00%,,,0.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E4B1739CB00000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Burnjaw,Fire,Poison,Magma Blast,80,Fire,#38,12.00%,Tremor Shake,70,Ground,#171,13.00%,Noxious Eruption,85,Poison,#154,18.00%,Flame Whirlwind,70,Fire,#45,20.00%,Molten Maelstrom,***,#49,8.00%,Burn Up,**,#48,6.00%,Detect,#390,11.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E61FD0ACC00000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Wriggul,Bug,,Bug Bite,30,Bug,#213,12.00%,Bramble Barrage,80,Grass,#73,20.00%,Chrysalid Charge,70,Bug,#225,22.00%,,,,,0.00%,Infestation,****,#230,23.00%,Leech,*,#227,11.00%,,,0.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E78E2DBCD00000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Poddle,Bug,,Skull Bash,80,Normal,#14,15.00%,Venoshock,120,Poison,#150,13.00%,Chrysalid Charge,70,Bug,#225,20.00%,Pollen Puff,55,Grass,#80,10.00%,Metamorphosis Madness,***,#229,13.00%,Toxic Touch,*,#155,11.00%,Protect,#377,8.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E8FC8ACCE00000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Flutterfly,Bug,Poison,Cocoon Cannon,120,Bug,#222,18.00%,Web Shot Lunge,100,Bug,#220,15.00%,Noxious Eruption,85,Poison,#154,14.00%,Pincer Pinch,55,Bug,#224,7.00%,Sticky Web,**,#228,14.00%,Tailwind Boost,**,#192,12.00%,Fly,#391,7.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EA6AE7DCF00000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Snowbal,Ice,,Snowball Strike,30,Ice,#106,10.00%,Frozen Tundra,125,Ice,#402,16.00%,Snuggle Tackle,70,Normal,#27,15.00%,Quick Attack,40,Normal,#25,10.00%,Icy Wind,*,#119,12.00%,Blizzard Cataclysm,****,#122,21.00%,Evade,#375,4.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EBD944ED000000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Stormba,Ice,Electric,Hailstorm Fury,70,Ice,#117,20.00%,Thunderclap Crash,100,Electric,#94,12.00%,Shockwave Smash,85,Electric,#100,15.00%,Tremor Shake,70,Ground,#171,13.00%,Ice Wall,***,#121,13.00%,Surge Shield,*,#101,8.00%,Counter,#389,9.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ED47A1FD100000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Rachnara,Grass,Psychic,Forest Fury,100,Grass,#76,10.00%,,,,,0.00%,Aura Sphere Blast,70,Psychic,#207,17.00%,Leaf Tornado,70,Grass,#81,10.00%,Telekinetic Shield,**,#210,25.00%,Infestation,****,#230,20.00%,,,0.00%,Miss,#1,18.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EEB5FF0D200000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Dewdrop,Normal,,Kick,30,Normal,#2,10.00%,Body Slam,60,Normal,#11,8.00%,Quick Attack,40,Normal,#25,15.00%,Extreme Speed,85,Normal,#28,13.00%,Taunt and Tease,****,#32,16.00%,Screech,***,#31,16.00%,Evade,#375,12.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E0245C1D300000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Dawnfawn,Normal,Electric,Bump and Run,100,Normal,#20,12.00%,Electro Storm,100,Electric,#93,6.00%,Jet Strike,55,Normal,#26,15.00%,Electro Ball,70,Electric,#99,27.00%,Magnet Wave,**,#102,25.00%,,,,0.00%,Leap,#380,4.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E192B92D400000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Stormreign,Dark,Electric,Thunderbolt Blitz,120,Electric,#96,19.00%,Abyssal Annihilation,120,Dark,#293,18.00%,Zap Kick,40,Electric,#97,10.00%,Omega Steel Strike,85,Steel,#316,14.00%,Surge Shield,*,#101,6.00%,Shockwave Shield,****,#104,7.00%,Mirage,#383,13.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E301163D50000003A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Cubbel,Normal,,Wild Rush,80,Normal,#15,26.00%,,,,,0.00%,Quick Attack,40,Normal,#25,18.00%,,,,,0.00%,Lullaby,**,#30,28.00%,Taunt and Tease,****,#32,18.00%,,,0.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E46F734D60000003B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Hornbuff,Normal,,Death Charge,120,Normal,#23,19.00%,Guillotine,85,Normal,#17,16.00%,Smack Down,70,Fighting,#135,16.00%,Extreme Speed,85,Normal,#28,12.00%,Guard Up,***,#139,6.00%,Iron Defense,**,#318,4.00%,Protect,#377,15.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E5DDD05D70000003C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Petrimon,Rock,,Rock Blast,30,Rock,#232,10.00%,Meteoric Impact,125,Rock,#408,15.00%,Bedrock Blast,70,Rock,#243,19.00%,Fissure Quake,85,Ground,#172,8.00%,Nocturnal Nightmare,****,#302,14.00%,Ancient Power,***,#247,12.00%,Decoy,#384,11.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E74C2D6D80000003D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sanspike,Ground,,Sandstorm Fury,80,Ground,#164,14.00%,Earthquake,100,Ground,#165,25.00%,Tremor Shake,70,Ground,#171,17.00%,Geode Grenade,85,Rock,#244,8.00%,Rock Shield,**,#246,11.00%,Gravel Grind,*,#245,5.00%,Backflip,#378,10.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E8BA8A7D90000003E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Magworm,Fire,Rock,Heat Wave,50,Fire,#35,10.00%,Flame Charge,50,Fire,#36,7.00%,Digging Strike,55,Ground,#170,11.00%,Ember Wheel,40,Fire,#43,8.00%,Molten Maelstrom,***,#49,29.00%,Sandstorm Shield,****,#176,21.00%,,,0.00%,Miss,#1,14.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EA28E78DA0000003F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Magviper,Fire,Rock,Fireball Storm,120,Fire,#42,16.00%,Napalm,125,Fire,#398,8.00%,Geode Grenade,85,Rock,#244,12.00%,Flame Whirlwind,70,Fire,#45,22.00%,Quicksand Sinkhole,*,#173,8.00%,Sand Pit Trap,***,#175,10.00%,Burrow,#385,6.00%,Miss,#1,18.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EB97449DB00000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Cosma,Cosmic,,Twinkle Tackle,80,Fairy,#325,16.00%,Dimensional Lazer,125,Cosmic,#396,8.00%,Solar Storm,70,Cosmic,#351,14.00%,Psychic Surge,55,Psychic,#206,9.00%,Space Time Warp,**,#354,14.00%,Aurora Borealis,****,#356,14.00%,Mirage,#383,15.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ED05A1ADC00000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Golbee,Fairy,Grass,Photosynthesis Flare,120,Grass,#78,22.00%,Solar Beam,100,Grass,#75,15.00%,Fairy Strike,55,Fairy,#332,18.00%,Flutter Fury,70,Fairy,#333,15.00%,Mind Control,***,#211,6.00%,,,,0.00%,Dodge,#376,13.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EE73FEBDD00000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Poibee,Fairy,Poison,Poisonous Whirlwind,80,Poison,#146,17.00%,Sparkle Burst,80,Fairy,#434,10.00%,Flutter Fury,70,Fairy,#333,9.00%,Extreme Speed,85,Normal,#28,6.00%,Venemous Vortex,****,#158,17.00%,Draining Kiss,***,#337,18.00%,Backflip,#378,8.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EFE25BCDE00000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Bugbee,Bug,Fairy,Mystic Moonbeam,120,Fairy,#329,20.00%,Mandible Maul,120,Bug,#221,14.00%,Chrysalid Charge,70,Bug,#225,18.00%,Heavenly Hurricane,85,Fairy,#334,13.00%,Sticky Web,**,#228,7.00%,,,,0.00%,Decoy,#384,15.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E150B8DDF00000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Cinnafire,Fire,,Incinerate,100,Fire,#40,13.00%,Bump and Run,100,Normal,#20,17.00%,Flame Whirlwind,70,Fire,#45,16.00%,Smack Down,70,Fighting,#135,10.00%,Burn Up,**,#48,16.00%,Screech,***,#31,7.00%,Evade,#375,8.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E2BF15EE000000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Roarice,Ice,,Surf Strike,50,Water,#54,5.00%,,,,,0.00%,Artic Chill,55,Ice,#116,15.00%,Crystal Crush,85,Ice,#118,14.00%,Ice Wall,***,#121,36.00%,Icy Wind,*,#119,19.00%,,,0.00%,Miss,#1,11.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E42D72FE100000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Stompice,Ice,,Winter's Wrath,120,Ice,#113,14.00%,Hydro Cannon,80,Water,#56,10.00%,Crystal Crush,85,Ice,#118,16.00%,Rock Throw,40,Rock,#241,18.00%,Blizzard Cataclysm,****,#122,12.00%,Aurora Borealis,****,#356,6.00%,Protect,#377,7.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E59BD00E200000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Voltotic,Electric,Flying,Zap Cannon,80,Electric,#91,25.00%,Hurricane,100,Flying,#183,15.00%,Whirlwind Whack,70,Flying,#189,12.00%,Talon Tornado,85,Flying,#190,6.00%,Brave Bird,***,#193,15.00%,Surge Shield,*,#101,10.00%,Fly,#391,4.00%,Miss,#1,13.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E70A2D1E300000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Turtpip,Grass,Water,Wild Rush,80,Normal,#15,12.00%,Water Gun,50,Water,#53,5.00%,Torrential Tempest,70,Water,#63,9.00%,Snuggle Tackle,70,Normal,#27,9.00%,Aqua Veil,***,#67,12.00%,Floral Fusion,****,#86,24.00%,Withdraw,#379,13.00%,Miss,#1,16.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E8788A2E400000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Shelltur,Fighting,Grass,Fists of Fury,80,Fighting,#128,10.00%,Bone Breaker,100,Fighting,#129,8.00%,Leaf Tornado,70,Grass,#81,19.00%,Close Combat,85,Fighting,#136,15.00%,Guard Up,***,#139,12.00%,Kung Fu Confusion,****,#140,10.00%,Dive,#387,11.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E9E6E73E50000004A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Mistlegon,Dragon,,Zen Headbutt,80,Psychic,#200,8.00%,Enchanted Mist,100,Fairy,#327,9.00%,Supernova,70,Dragon,#279,14.00%,Solar Storm,70,Cosmic,#351,15.00%,Lullaby,**,#30,15.00%,Ancient Rage,****,#284,21.00%,Wall of Presents,#386,6.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EB55444E60000004B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Voltile,Fire,,Fire Ball,80,Fire,#418,22.00%,Bump and Run,100,Normal,#20,8.00%,Bedrock Blast,70,Rock,#243,10.00%,Flame Whirlwind,70,Fire,#45,10.00%,Burn Up,**,#48,27.00%,Pheonix Fury,****,#50,11.00%,,,0.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7ECC3A15E70000004C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Salamantis,Fire,Rock,Stone Storm,80,Rock,#236,18.00%,Flame Whirlwind,70,Fire,#45,12.00%,Infernal Explosion,85,Fire,#46,16.00%,Digging Strike,55,Ground,#170,12.00%,Ancient Power,***,#247,12.00%,Sand Pit Trap,***,#175,8.00%,Burrow,#385,12.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EE31FE6E80000004D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Clocktik,Flying,Steel,Wing Slash,50,Flying,#180,12.00%,Foliage Frenzy,50,Grass,#72,10.00%,Bolt Blade,70,Steel,#315,9.00%,Absolute Iron,125,Steel,#412,17.00%,Iron Defense,**,#318,12.00%,Brave Bird,***,#193,15.00%,Protect,#377,15.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7EFA05B7E90000004E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Clocktok,Flying,Steel,Skyward Slash,120,Flying,#185,21.00%,Thorn Blizzard,120,Grass,#77,19.00%,Bolt Blade,70,Steel,#315,12.00%,Dive Tackle,40,Flying,#187,14.00%,Telekinetic Shield,**,#210,11.00%,,,,0.00%,Mirage,#383,13.00%,Miss,#1,10.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E10EB88EA0000004F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Dyno,Fighting,Fire,Inferno Blitz,80,Fire,#37,22.00%,Sand Whip,80,Ground,#163,12.00%,Close Combat,85,Fighting,#136,19.00%,Flame Whirlwind,70,Fire,#45,8.00%,Dust Devil,**,#174,5.00%,Sandstorm Shield,****,#176,10.00%,Backflip,#378,12.00%,Miss,#1,12.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E27D159EB00000050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Aquacuda,Water,,Tsunami Slam,100,Water,#58,16.00%,Venomous Bite,50,Poison,#144,9.00%,Water Whip,55,Water,#62,8.00%,Torrential Tempest,70,Water,#63,9.00%,Bubble Barrier,**,#66,16.00%,Briny Blast,****,#68,25.00%,,,0.00%,Miss,#1,17.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E3EB72AEC00000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Rhinonium,Ice,Rock,Obsidian Blast,100,Rock,#238,18.00%,Frost Nova,80,Ice,#109,15.00%,Steel Swipe,55,Steel,#314,10.00%,Fissure Quake,85,Ground,#172,8.00%,Blizzard Cataclysm,****,#122,12.00%,Quarry Coffin,****,#248,10.00%,Protect,#377,12.00%,Miss,#1,15.00%,0008138874D997D20619837CF3C7E1050A785E9F9AC53D7E559CFBED00000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
