#,Zerpmon,Types,,White Move #1,Dmg,Type,ID,%,White Move #2,Dmg,Type,ID,%,Gold Move #1,Dmg,Type,ID,%,Gold Move #2,Dmg,Type,ID,%,Purple Move #1,Stars,ID,%,Purple Move #2,Stars,ID,%,Blue Move,ID,%,Miss,ID,%
27,Flutterfly,Bug,Poison,Cocoon Cannon,120,Bug,#222,22.00%,Web Shot Lunge,100,Bug,#220,13.00%,Noxious Eruption,85,Poison,#154,12.00%,Pincer Pinch,55,Bug,#224,15.00%,Sticky Web,**,#228,14.00%,Brave Bird,***,#193,13.00%,Fly,#391,24.00%,Miss,#1,11.00%
28,Snowbal,Ice,,Snowball Strike,30,Ice,#106,10.00%,Frozen Tundra,125,Ice,#402,16.00%,Snuggle Tackle,70,Normal,#27,15.00%,Quick Attack,40,Normal,#25,10.00%,Sub Zero,*****,#458,12.00%,Blizzard Cataclysm,****,#122,23.00%,Evade,#375,15.00%,Miss,#1,14.00%
29,Stormba,Ice,Electric,Hailstorm Fury,70,Ice,#117,17.00%,Thunderclap Crash,100,Electric,#94,13.00%,Shockwave Smash,85,Electric,#100,15.00%,Tremor Shake,70,Ground,#171,14.00%,Ice Wall,***,#121,13.00%,Thunderous Roar,***,#103,8.00%,Counter,#389,30.00%,Miss,#1,20.00%
30,Rachnara,Grass,Psychic,Forest Fury,100,Grass,#76,10.00%,Insects Rising,125,Bug,#407,14.00%,Aura Sphere Blast,70,Psychic,#207,17.00%,Leaf Tornado,70,Grass,#81,12.00%,Telekinetic Shield,**,#210,13.00%,Infestation,****,#230,17.00%,Protect,#377,10.00%,Miss,#1,17.00%
31,Dewdrop,Normal,,Kick,30,Normal,#2,10.00%,Body Slam,60,Normal,#11,8.00%,Quick Attack,40,Normal,#25,16.00%,Extreme Speed,85,Normal,#28,11.00%,Taunt and Tease,****,#32,16.00%,Special Talent,****,#446,16.00%,Evade,#375,21.00%,Miss,#1,23.00%
32,Dawnfawn,Normal,Electric,Bump and Run,100,Normal,#20,14.00%,Electro Storm,100,Electric,#93,13.00%,Jet Strike,55,Normal,#26,11.00%,Electro Ball,70,Electric,#99,22.00%,Screech,***,#31,14.00%,Knacker,**,#450,12.00%,Leap,#380,20.00%,Miss,#1,14.00%
33,Stormreign,Dark,Electric,Thunderbolt Blitz,120,Electric,#96,19.00%,Abyssal Annihilation,120,Dark,#293,18.00%,Zap Kick,40,Electric,#97,7.00%,Omega Steel Strike,85,Steel,#316,14.00%,Surge Shield,*,#101,9.00%,Shockwave Shield,****,#104,8.00%,Mirage,#383,13.00%,Miss,#1,25.00%
34,Cubbel,Normal,,Wild Rush,80,Normal,#15,15.00%,Sandblast,50,Ground,#162,8.00%,Quick Attack,40,Normal,#25,9.00%,Snuggle Tackle,70,Normal,#27,13.00%,Lullaby,**,#30,21.00%,Taunt and Tease,****,#32,24.00%,Protect,#377,10.00%,Miss,#1,10.00%
35,Hornbuff,Normal,,Death Charge,120,Normal,#23,17.00%,Guillotine,85,Normal,#17,16.00%,Smack Down,70,Fighting,#135,14.00%,Extreme Speed,85,Normal,#28,12.00%,Guard Up,***,#139,6.00%,Iron Defense,**,#318,5.00%,Protect,#377,28.00%,Miss,#1,30.00%
36,Petrimon,Rock,,Rock Blast,30,Rock,#232,10.00%,Meteoric Impact,125,Rock,#408,16.00%,Bedrock Blast,70,Rock,#243,18.00%,Fissure Quake,85,Ground,#172,8.00%,Nocturnal Nightmare,****,#302,14.00%,Ancient Power,***,#247,12.00%,Decoy,#384,20.00%,Miss,#1,22.00%
37,Sanspike,Ground,,Sandstorm Fury,80,Ground,#164,15.00%,Earthquake,100,Ground,#165,24.00%,Tremor Shake,70,Ground,#171,10.00%,Geode Grenade,85,Rock,#244,17.00%,Rock Shield,**,#246,9.00%,Gravel Grind,*,#245,5.00%,Backflip,#378,20.00%,Miss,#1,20.00%
38,Magworm,Fire,Rock,Heat Wave,50,Fire,#35,10.00%,Flame Charge,50,Fire,#36,5.00%,Digging Strike,55,Ground,#170,12.00%,Ember Wheel,40,Fire,#43,10.00%,Hellfire,*****,#454,19.00%,Sandstorm Shield,****,#176,20.00%,Protect,#377,12.00%,Miss,#1,24.00%
39,Magviper,Fire,Rock,Fireball Storm,120,Fire,#42,15.00%,Napalm,125,Fire,#398,9.00%,Geode Grenade,85,Rock,#244,12.00%,Flame Whirlwind,70,Fire,#45,18.00%,Quicksand Sinkhole,*,#173,8.00%,Sand Pit Trap,***,#175,10.00%,Burrow,#385,10.00%,Miss,#1,28.00%
40,Cosma,Cosmic,,Twinkle Tackle,80,Fairy,#325,12.00%,Dimensional Lazer,125,Cosmic,#396,8.00%,Solar Storm,70,Cosmic,#351,14.00%,Psychic Surge,55,Psychic,#206,9.00%,Space Time Warp,**,#354,15.00%,Aurora Borealis,****,#356,15.00%,Mirage,#383,17.00%,Miss,#1,27.00%
41,Golbee,Fairy,Grass,Photosynthesis Flare,120,Grass,#78,18.00%,Solar Beam,100,Grass,#75,15.00%,Fairy Strike,55,Fairy,#332,18.00%,Flutter Fury,70,Fairy,#333,15.00%,Mind Control,***,#211,7.00%,Rapid Evolution,****,#464,5.00%,Dodge,#376,10.00%,Miss,#1,22.00%
42,Poibee,Fairy,Poison,Poisonous Whirlwind,80,Poison,#146,14.00%,Sparkle Burst,80,Fairy,#434,10.00%,Flutter Fury,70,Fairy,#333,9.00%,Extreme Speed,85,Normal,#28,6.00%,Venemous Vortex,****,#158,15.00%,Draining Kiss,***,#337,18.00%,Backflip,#378,21.00%,Miss,#1,28.00%
43,Bugbee,Bug,Fairy,Mystic Moonbeam,120,Fairy,#329,17.00%,Mandible Maul,120,Bug,#221,16.00%,Bug Brawl,40,Bug,#223,17.00%,Heavenly Hurricane,85,Fairy,#334,13.00%,Sticky Web,**,#228,7.00%,Soothing Voice,***,#452,5.00%,Decoy,#384,25.00%,Miss,#1,25.00%
44,Cinnafire,Fire,,Incinerate,100,Fire,#40,18.00%,Bump and Run,100,Normal,#20,16.00%,Flame Whirlwind,70,Fire,#45,15.00%,Smack Down,70,Fighting,#135,10.00%,Burn Up,**,#48,14.00%,Screech,***,#31,7.00%,Evade,#375,10.00%,Miss,#1,20.00%
45,Roarice,Ice,,Surf Strike,50,Water,#54,7.00%,Winter's Wrath,120,Ice,#113,18.00%,Artic Chill,55,Ice,#116,15.00%,Tremor Shake,70,Ground,#171,14.00%,Ice Wall,***,#121,12.00%,Sub Zero,*****,#458,16.00%,Protect,#377,21.00%,Miss,#1,18.00%
46,Stompice,Ice,,Winter's Wrath,120,Ice,#113,12.00%,Hydro Cannon,80,Water,#56,16.00%,Crystal Crush,85,Ice,#118,17.00%,Rock Throw,40,Rock,#241,12.00%,Blizzard Cataclysm,****,#122,16.00%,Aurora Borealis,****,#356,9.00%,Protect,#377,23.00%,Miss,#1,18.00%
47,Voltotic,Electric,Flying,Zap Cannon,80,Electric,#91,19.00%,Hurricane,100,Flying,#183,23.00%,Whirlwind Whack,70,Flying,#189,12.00%,Talon Tornado,85,Flying,#190,6.00%,Brave Bird,***,#193,15.00%,Surge Shield,*,#101,10.00%,Fly,#391,16.00%,Miss,#1,15.00%
48,Turtpip,Grass,Water,Wild Rush,80,Normal,#15,10.00%,Water Gun,50,Water,#53,5.00%,Torrential Tempest,70,Water,#63,13.00%,Snuggle Tackle,70,Normal,#27,9.00%,Aqua Veil,***,#67,12.00%,Floral Fusion,****,#86,24.00%,Withdraw,#379,22.00%,Miss,#1,27.00%
49,Shelltur,Fighting,Grass,Fists of Fury,80,Fighting,#128,10.00%,Bone Breaker,100,Fighting,#129,8.00%,Leaf Tornado,70,Grass,#81,19.00%,Close Combat,85,Fighting,#136,13.00%,Guard Up,***,#139,12.00%,Kung Fu Confusion,****,#140,10.00%,Dive,#387,18.00%,Miss,#1,28.00%
50,Mistlegon,Dragon,,Zen Headbutt,80,Psychic,#200,9.00%,Piercing Sparkle,125,Fairy,#413,8.00%,Supernova,70,Dragon,#279,12.00%,Solar Storm,70,Cosmic,#351,13.00%,Special Talent,****,#446,14.00%,Ancient Rage,****,#284,20.00%,Wall of Presents,#386,18.00%,Miss,#1,24.00%
51,Voltile,Fire,,Fire Ball,80,Fire,#418,16.00%,Bump and Run,100,Normal,#20,9.00%,Bedrock Blast,70,Rock,#243,10.00%,Flame Whirlwind,70,Fire,#45,10.00%,Burn Up,**,#48,25.00%,Pheonix Fury,****,#50,13.00%,Protect,#377,10.00%,Miss,#1,17.00%
52,Salamantis,Fire,Rock,Stone Storm,80,Rock,#236,18.00%,Flame Whirlwind,70,Fire,#45,10.00%,Infernal Explosion,85,Fire,#46,23.00%,Digging Strike,55,Ground,#170,11.00%,Ancient Power,***,#247,11.00%,Sand Pit Trap,***,#175,7.00%,Burrow,#385,10.00%,Miss,#1,20.00%
53,Clocktik,Flying,Steel,Wing Slash,50,Flying,#180,10.00%,Foliage Frenzy,50,Grass,#72,10.00%,Bolt Blade,70,Steel,#315,8.00%,Omega Steel Strike,85,Steel,#316,15.00%,Overdrive,*****,#469,12.00%,Knacker,**,#450,15.00%,Protect,#377,11.00%,Miss,#1,30.00%
54,Clocktok,Flying,Steel,Skyward Slash,120,Flying,#185,22.00%,Thorn Blizzard,120,Grass,#77,14.00%,Bolt Blade,70,Steel,#315,9.00%,Dive Tackle,40,Flying,#187,10.00%,Telekinetic Shield,**,#210,11.00%,Gruesome Gaze,*,#371,12.00%,Mirage,#383,12.00%,Miss,#1,22.00%
55,Dyno,Fighting,Fire,Inferno Blitz,80,Fire,#37,20.00%,Sand Whip,80,Ground,#163,12.00%,Close Combat,85,Fighting,#136,18.00%,Flame Whirlwind,70,Fire,#45,8.00%,Dust Devil,**,#174,5.00%,Sandstorm Shield,****,#176,10.00%,Backflip,#378,13.00%,Miss,#1,27.00%
56,Aquacuda,Water,,Tsunami Slam,100,Water,#58,16.00%,Venomous Bite,50,Poison,#144,9.00%,Water Whip,55,Water,#62,8.00%,Torrential Tempest,70,Water,#63,10.00%,Bubble Barrier,**,#66,15.00%,Briny Blast,****,#68,24.00%,Protect,#377,10.00%,Miss,#1,18.00%
57,Rhinonium,Ice,Rock,Obsidian Blast,100,Rock,#238,20.00%,Frost Nova,80,Ice,#109,16.00%,Steel Swipe,55,Steel,#314,10.00%,Fissure Quake,85,Ground,#172,9.00%,Blizzard Cataclysm,****,#122,13.00%,Quarry Coffin,****,#248,10.00%,Protect,#377,24.00%,Miss,#1,22.00%
58,Gothamel,Cosmic,Dark,Black Hole Implosion,120,Cosmic,#347,13.00%,Undead Apocalypse,120,Undead,#366,8.00%,Aurora Blast,55,Cosmic,#350,12.00%,Obilivion Orb,70,Dark,#297,10.00%,Nocturnal Nightmare,****,#302,17.00%,Cosmic Radiation,***,#355,13.00%,Protect,#377,11.00%,Miss,#1,27.00%
59,Terrasaur,Ground,Ice,Ethereal Blast,80,Ghost,#254,11.00%,Rockslide Avalanche,120,Ground,#167,7.00%,Crystal Crush,85,Ice,#118,13.00%,Tremor Shake,70,Ground,#171,9.00%,Sandstorm Shield,****,#176,16.00%,Ice Wall,***,#121,12.00%,Mirage,#383,31.00%,Miss,#1,32.00%
60,Hyping,Cosmic,Psychic,Black Hole Implosion,120,Cosmic,#347,12.00%,Portal Slam,80,Cosmic,#344,9.00%,Psychic Surge,55,Psychic,#206,17.00%,Eclipse Eruption,55,Dark,#296,11.00%,Thought Scramble,****,#212,19.00%,Telekinetic Shield,**,#210,16.00%,Protect,#377,10.00%,Miss,#1,16.00%
61,Uka Uka,Dark,Undead,Necrotic Wave,30,Undead,#358,9.00%,Blackout Strike,50,Dark,#287,14.00%,Wraith Whip,70,Undead,#369,8.00%,Night Terror,70,Ghost,#261,12.00%,Nocturnal Nightmare,****,#302,16.00%,Taunt and Tease,****,#32,18.00%,Shadow Swap,#382,19.00%,Miss,#1,23.00%
62,Buka Buka,Dark,Undead,Demonic Deluge,100,Undead,#364,10.00%,Shadowy Sweep,80,Dark,#290,16.00%,Wraith Whip,70,Undead,#369,20.00%,Night Terror,70,Ghost,#261,12.00%,Magnet Wave,**,#102,9.00%,Venemous Vortex,****,#158,11.00%,Withdraw,#379,23.00%,Miss,#1,22.00%
63,Rutabaga,Psychic,Undead,Necrotic Nova,120,Undead,#365,18.00%,Mental Shockwave,100,Psychic,#201,22.00%,Tremor Shake,70,Ground,#171,12.00%,Leaf Tornado,70,Grass,#81,10.00%,Telekinetic Shield,**,#210,14.00%,Soul Drain,***,#265,6.00%,Protect,#377,10.00%,Miss,#1,18.00%
64,Igni,Fire,Undead,Inferno Blitz,80,Fire,#37,14.00%,Dark Energy Blast,100,Dark,#291,25.00%,Ember Wheel,40,Fire,#43,8.00%,Undead Punch,75,Undead,#487,14.00%,Burn Up,**,#48,10.00%,Screech,***,#31,14.00%,Protect,#377,12.00%,Miss,#1,15.00%
65,Jellatile,Bug,,Web Shot Lunge,100,Bug,#220,22.00%,Swarm,30,Bug,#214,9.00%,Rain Dance Rush,40,Water,#61,9.00%,Poison Strike,75,Poison,#489,10.00%,Infestation,****,#230,17.00%,Rapid Evolution,****,#464,15.00%,Evade,#375,22.00%,Miss,#1,18.00%
66,Gnuke,Dark,Psychic,Ghastly Grapple,100,Ghost,#256,26.00%,Shadowy Sweep,80,Dark,#290,9.00%,Aura Sphere Blast,70,Psychic,#207,17.00%,Eternal Nightfall,85,Dark,#298,6.00%,Demonic Dread,***,#301,11.00%,Alternate Dimension,****,#463,10.00%,Protect,#377,11.00%,Miss,#1,21.00%
67,Scorpinch,Bug,Dark,Midnight Maul,80,Dark,#289,17.00%,Guillotine,85,Normal,#17,23.00%,Crawler Clobber,85,Bug,#226,14.00%,Close Combat,85,Fighting,#136,12.00%,Metamorphosis Madness,***,#229,6.00%,Disarm,*****,#441,5.00%,Shadow Swap,#382,22.00%,Miss,#1,23.00%
68,Fyrefli,Electric,Fairy,Zap Cannon,80,Electric,#91,15.00%,Voltage Overload,125,Electric,#401,9.00%,Electro Ball,70,Electric,#99,14.00%,Flutter Fury,70,Fairy,#333,22.00%,Magnet Wave,**,#102,16.00%,Charm Beam,**,#336,14.00%,Protect,#377,13.00%,Miss,#1,10.00%
69,Treetraum,Dark,Grass,Shadowy Sweep,80,Dark,#290,17.00%,Roots Below,125,Grass,#400,16.00%,Wraith Whip,70,Undead,#369,22.00%,Tremor Shake,70,Ground,#171,13.00%,Root Rend,**,#84,10.00%,Counter Attack,***,#449,9.00%,Protect,#377,13.00%,Miss,#1,13.00%
70,Vineterror,Dragon,Grass,Whitefire,125,Dragon,#410,17.00%,Roots Below,125,Grass,#400,12.00%,Chlorophyll Charge,85,Grass,#82,16.00%,Supernova,70,Dragon,#279,9.00%,Disarm,*****,#441,10.00%,Ancient Rage,****,#284,14.00%,Parry,#388,13.00%,Miss,#1,22.00%
71,Sprat,Electric,,Electro Storm,100,Electric,#93,15.00%,Wild Rush,80,Normal,#15,11.00%,Spark Shuriken,55,Electric,#98,19.00%,Obilivion Orb,70,Dark,#297,6.00%,Shockwave Shield,****,#104,16.00%,Magnet Wave,**,#102,8.00%,Evade,#375,28.00%,Miss,#1,25.00%
72,Phinx,Psychic,,Teleport Strike,80,Psychic,#199,11.00%,Twinkle Tackle,80,Fairy,#325,13.00%,Aura Sphere Blast,70,Psychic,#207,15.00%,Jet Strike,55,Normal,#26,9.00%,Thought Scramble,****,#212,13.00%,Blind,*****,#442,13.00%,Dodge,#376,12.00%,Miss,#1,26.00%
73,Zup,Electric,Ground,Thunder Strike,50,Electric,#89,12.00%,Sandblast,50,Ground,#162,12.00%,Electro Ball,70,Electric,#99,14.00%,Snuggle Tackle,70,Normal,#27,15.00%,Shockwave Shield,****,#104,23.00%,Sand Pit Trap,***,#175,12.00%,Protect,#377,10.00%,Miss,#1,12.00%
74,Zook,Electric,Ground,Zap Cannon,80,Electric,#91,23.00%,Ice Fang,50,Ice,#108,11.00%,Spark Shuriken,55,Electric,#98,11.00%,Tremor Shake,70,Ground,#171,20.00%,Special Talent,****,#446,15.00%,Sucker Punch,***,#448,10.00%,Evade,#375,12.00%,Miss,#1,10.00%
75,Zork,Electric,Ground,Magnet Mayhem,120,Electric,#95,22.00%,Earthquake,100,Ground,#165,18.00%,Night Terror,70,Ghost,#261,10.00%,Electric Power,75,Electric,#476,11.00%,Magnet Wave,**,#102,10.00%,Sand Pit Trap,***,#175,9.00%,Burrow,#385,19.00%,Miss,#1,20.00%
76,Glubby,Psychic,Water,Aqua Shot,80,Water,#419,10.00%,Oceanic Surge,120,Water,#59,11.00%,Water Whip,55,Water,#62,15.00%,Torrential Tempest,70,Water,#63,10.00%,Briny Blast,****,#68,20.00%,Telekinetic Shield,**,#210,18.00%,Protect,#377,11.00%,Miss,#1,16.00%
77,Glorby,Psychic,Water,Zen Headbutt,80,Psychic,#200,15.00%,Hydro Cannon,80,Water,#56,13.00%,Drenching Downpour,85,Water,#64,12.00%,Bedrock Blast,70,Rock,#243,9.00%,Mind Control,***,#211,12.00%,Oceanic Domain,*****,#455,12.00%,Protect,#377,11.00%,Miss,#1,27.00%
78,Monki,Fighting,,Roundhouse Uppercut,50,Fighting,#126,12.00%,Fatal Sneak Attack,125,Fighting,#395,21.00%,Cross Chop,55,Fighting,#134,12.00%,Cyclone Kick,55,Flying,#188,16.00%,Kung Fu Confusion,****,#140,10.00%,Burn Up,**,#48,12.00%,Backflip,#378,16.00%,Miss,#1,17.00%
79,Monkmaster,Fighting,,Fists of Fury,80,Fighting,#128,12.00%,Fatal Sneak Attack,125,Fighting,#395,16.00%,Cyclone Kick,55,Flying,#188,7.00%,Extreme Speed,85,Normal,#28,14.00%,Kung Fu Confusion,****,#140,17.00%,Burn Up,**,#48,9.00%,Backflip,#378,12.00%,Miss,#1,25.00%
80,Spectowl,Flying,Grass,Bramble Barrage,80,Grass,#73,13.00%,Ethereal Blast,80,Ghost,#254,21.00%,Talon Tornado,85,Flying,#190,17.00%,Leaf Tornado,70,Grass,#81,7.00%,Tailwind Boost,**,#192,8.00%,Floral Fusion,****,#86,13.00%,Shadow Swap,#382,19.00%,Miss,#1,21.00%
81,Phantar,Dark,Ghost,Poltergeist Strike,50,Ghost,#251,14.00%,Dark Pulse,30,Dark,#285,10.00%,Night Terror,70,Ghost,#261,11.00%,Low Sweep,40,Fighting,#133,6.00%,Thought Scramble,****,#212,20.00%,Total Darkness,*****,#468,17.00%,Protect,#377,12.00%,Miss,#1,22.00%
82,Ghast,Dark,Ghost,Dark Void Vortex,100,Dark,#292,11.00%,Brain Torment,80,Psychic,#427,13.00%,Obilivion Orb,70,Dark,#297,15.00%,Cursed Cut,55,Ghost,#260,23.00%,Haunting Curse,**,#264,12.00%,Dark Whispers,**,#300,16.00%,Protect,#377,17.00%,Miss,#1,10.00%
